Murrunkan-1,Pavattakulam-1,Nachchiduva-1,Vavniya-1,Mannr-1,Apura-1,Kappachichiya-1,Murrunkan,Pavattakulam,Nachchiduva,Vavniya,Mannr,Apura,Kappachichiya
0,0,0,0,0,0,5.19,0,0,0,0,0,0,0.0386
0,0,0,0,0,0,3.86,0,0,0,0,0,0,0.0277
0,0,0,0,0,0,2.77,0,0,0,0,0,0,0.022
0,0,0,0,0,0,2.2,0,0,0,0,0,0,0.0208
0,0,0,0,0,0,2.08,0,0,0,0,0,0,0.0192
0,0,0,0,0,0,1.92,0,0,0,0,0,0,0.0206
0,0,0,0,0,0,2.06,0,0,0,0,0,0,0.0328
0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.0394
0,0,0,0,0,0,3.94,0,0,0,0,0,0,0.035
0,0,0,0,0,0,3.5,0,0,0,0,0,0,0.0319
0,0,0,0,0,0,3.19,0,0,0,0,0,0,0.033
0,0,0,0,0,0,3.3,0,0,0,0,0,0,0.0295
0,0,0,0,0,0,2.95,0,0,0,0,0,0,0.0257
0,0,0,0,0,0,2.57,0,0,0,0,0,0,0.0237
0,0,0,0,0,0,2.37,0,0,0,0,0,0,0.0208
0,0,0,0,0,0,2.08,0,0,0,0,0,0,0.02
0,0,0,0,0,0,2,0,0,0,0,0,0,0.0198
0,0,0,0,0,0,1.98,0,0,0,0,0,0,0.0227
0,0,0,0,0,0,2.27,0,0,0,0,0,0,0.0278
0,0,0,0,0,0,2.78,0,0,0,0,0,0,0.0278
0,0,0,0,0,0,2.78,0,0,0,0,0,0,0.0283
0,0,0,0,0,0,2.83,0,0,0,0,0,0,0.026
0,0,0,0,0,0,2.6,0,0,0,0,0,0,0.0233
0,0,0,0,0,0,2.33,0,0,0,0,0,0,0.021
0,0,0,0,0,0,2.1,0,0,0,0,0,0,0.0182
0,0,0,0,0,0,1.82,0,0,0,0,0,0,0.0153
0,0,0,0,0,0,1.53,0,0,0,0,0,0,0.0149
0,0,0,0,0,0,1.49,0,0,0,0,0,0,0.0149
0,0,0,0,0,0,1.49,0,0,0,0,0,0,0.0149
